--- TABLA: PERSONA ---
dni|nombre|apellido|edad|nacionalidad
10000177A|Nombre_177|Apellido_177|37|Argentina
10000178F|Nombre_178|Apellido_178|63|Argentina
10000179S|Nombre_179|Apellido_179|66|Mexicana
10000180G|Nombre_180|Apellido_180|58|Mexicana
10000181N|Nombre_181|Apellido_181|66|Argentina
10000182X|Nombre_182|Apellido_182|68|Argentina
10000183W|Nombre_183|Apellido_183|85|Mexicana
10000184G|Nombre_184|Apellido_184|47|Mexicana
10000185N|Nombre_185|Apellido_185|70|Mexicana
10000186Y|Nombre_186|Apellido_186|84|Argentina
10000187X|Nombre_187|Apellido_187|58|Colombiana
10000188S|Nombre_188|Apellido_188|20|Argentina
10000189L|Nombre_189|Apellido_189|52|Argentina
10000190L|Nombre_190|Apellido_190|44|Colombiana
10000191N|Nombre_191|Apellido_191|27|Mexicana
10000192Z|Nombre_192|Apellido_192|33|Argentina
10000193D|Nombre_193|Apellido_193|41|Argentina
10000194V|Nombre_194|Apellido_194|40|Argentina
10000195T|Nombre_195|Apellido_195|23|Española
10000196Y|Nombre_196|Apellido_196|59|Chilena
10000197G|Nombre_197|Apellido_197|28|Mexicana
10000198Y|Nombre_198|Apellido_198|30|Española
10000199R|Nombre_199|Apellido_199|78|Argentina
10000200E|Nombre_200|Apellido_200|18|Mexicana
10000201Z|Nombre_201|Apellido_201|65|Argentina
10000202V|Nombre_202|Apellido_202|40|Argentina
10000203W|Nombre_203|Apellido_203|46|Argentina
10000204D|Nombre_204|Apellido_204|70|Argentina
10000205S|Nombre_205|Apellido_205|53|Mexicana
10000206Z|Nombre_206|Apellido_206|20|Española
10000207J|Nombre_207|Apellido_207|71|Colombiana
10000208R|Nombre_208|Apellido_208|41|Mexicana
10000209Y|Nombre_209|Apellido_209|31|Colombiana
10000210A|Nombre_210|Apellido_210|37|Chilena
10000211L|Nombre_211|Apellido_211|19|Española
10000212D|Nombre_212|Apellido_212|70|Colombiana
10000213V|Nombre_213|Apellido_213|72|Argentina
10000214D|Nombre_214|Apellido_214|20|Colombiana
10000215Z|Nombre_215|Apellido_215|31|Chilena
10000216V|Nombre_216|Apellido_216|77|Mexicana
10000217Y|Nombre_217|Apellido_217|35|Mexicana
10000218Z|Nombre_218|Apellido_218|50|Chilena
10000219P|Nombre_219|Apellido_219|30|Colombiana
10000220H|Nombre_220|Apellido_220|35|Argentina
10000221J|Nombre_221|Apellido_221|60|Argentina
10000222P|Nombre_222|Apellido_222|49|Mexicana
10000223S|Nombre_223|Apellido_223|73|Argentina
10000224L|Nombre_224|Apellido_224|77|Chilena
10000225Z|Nombre_225|Apellido_225|77|Chilena
10000226Y|Nombre_226|Apellido_226|29|Colombiana
10000227B|Nombre_227|Apellido_227|59|Argentina
10000228P|Nombre_228|Apellido_228|70|Chilena
10000229P|Nombre_229|Apellido_229|39|Española
10000230F|Nombre_230|Apellido_230|81|Chilena
10000231G|Nombre_231|Apellido_231|44|Colombiana
10000232F|Nombre_232|Apellido_232|23|Mexicana
10000233V|Nombre_233|Apellido_233|34|Española
10000234C|Nombre_234|Apellido_234|29|Española
10000235A|Nombre_235|Apellido_235|25|Colombiana
10000236W|Nombre_236|Apellido_236|28|Española
10000237S|Nombre_237|Apellido_237|56|Mexicana
10000238R|Nombre_238|Apellido_238|39|Chilena
10000239H|Nombre_239|Apellido_239|30|Argentina
10000240W|Nombre_240|Apellido_240|50|Argentina
10000241A|Nombre_241|Apellido_241|79|Colombiana
10000242B|Nombre_242|Apellido_242|67|Colombiana
10000243M|Nombre_243|Apellido_243|50|Chilena
10000244W|Nombre_244|Apellido_244|24|Mexicana
10000245T|Nombre_245|Apellido_245|21|Chilena
10000246F|Nombre_246|Apellido_246|57|Mexicana
10000247B|Nombre_247|Apellido_247|74|Chilena
10000248D|Nombre_248|Apellido_248|19|Colombiana
10000249D|Nombre_249|Apellido_249|41|Chilena
10000250M|Nombre_250|Apellido_250|62|Mexicana
10000251K|Nombre_251|Apellido_251|49|Española
10000252K|Nombre_252|Apellido_252|53|Española
10000253Q|Nombre_253|Apellido_253|63|Mexicana
10000254C|Nombre_254|Apellido_254|60|Española
10000255R|Nombre_255|Apellido_255|22|Mexicana
10000256N|Nombre_256|Apellido_256|57|Argentina
10000257Y|Nombre_257|Apellido_257|82|Española
10000258K|Nombre_258|Apellido_258|66|Chilena
10000259V|Nombre_259|Apellido_259|47|Chilena
10000260H|Nombre_260|Apellido_260|55|Española
10000261K|Nombre_261|Apellido_261|50|Colombiana
10000262D|Nombre_262|Apellido_262|44|Mexicana
10000263H|Nombre_263|Apellido_263|78|Colombiana
10000264H|Nombre_264|Apellido_264|22|Argentina
10000265Z|Nombre_265|Apellido_265|31|Colombiana
10000266K|Nombre_266|Apellido_266|38|Argentina
10000267D|Nombre_267|Apellido_267|20|Chilena
10000268C|Nombre_268|Apellido_268|82|Colombiana
10000269K|Nombre_269|Apellido_269|74|Chilena
10000270M|Nombre_270|Apellido_270|72|Española
10000271K|Nombre_271|Apellido_271|57|Argentina
10000272T|Nombre_272|Apellido_272|32|Mexicana
10000273K|Nombre_273|Apellido_273|54|Mexicana
10000274E|Nombre_274|Apellido_274|26|Española
10000275C|Nombre_275|Apellido_275|53|Mexicana
10000276A|Nombre_276|Apellido_276|83|Española
10000277F|Nombre_277|Apellido_277|44|Española
10000278Q|Nombre_278|Apellido_278|51|Mexicana
10000279P|Nombre_279|Apellido_279|29|Argentina
10000280H|Nombre_280|Apellido_280|22|Española
10000281R|Nombre_281|Apellido_281|71|Argentina
10000282S|Nombre_282|Apellido_282|19|Argentina
10000283P|Nombre_283|Apellido_283|22|Argentina
10000284V|Nombre_284|Apellido_284|59|Mexicana
10000285T|Nombre_285|Apellido_285|34|Colombiana
10000286J|Nombre_286|Apellido_286|64|Colombiana
10000287Z|Nombre_287|Apellido_287|19|Colombiana
10000288S|Nombre_288|Apellido_288|33|Mexicana
10000289E|Nombre_289|Apellido_289|83|Chilena
10000290M|Nombre_290|Apellido_290|29|Colombiana
10000291G|Nombre_291|Apellido_291|74|Colombiana
10000292V|Nombre_292|Apellido_292|72|Española
10000293R|Nombre_293|Apellido_293|47|Mexicana
10000294S|Nombre_294|Apellido_294|36|Mexicana
10000295A|Nombre_295|Apellido_295|33|Colombiana
10000296S|Nombre_296|Apellido_296|49|Española
10000297Q|Nombre_297|Apellido_297|69|Chilena
10000298W|Nombre_298|Apellido_298|80|Chilena
10000299E|Nombre_299|Apellido_299|72|Chilena
10000300S|Nombre_300|Apellido_300|84|Colombiana
10000301E|Nombre_301|Apellido_301|22|Chilena
10000302A|Nombre_302|Apellido_302|64|Chilena
10000303G|Nombre_303|Apellido_303|35|Chilena
10000304W|Nombre_304|Apellido_304|47|Colombiana
10000305Q|Nombre_305|Apellido_305|50|Argentina
10000306K|Nombre_306|Apellido_306|79|Chilena
10000307C|Nombre_307|Apellido_307|23|Mexicana
10000308N|Nombre_308|Apellido_308|32|Mexicana
10000309G|Nombre_309|Apellido_309|35|Española
10000310Q|Nombre_310|Apellido_310|80|Española
10000311T|Nombre_311|Apellido_311|58|Colombiana
10000312P|Nombre_312|Apellido_312|22|Argentina
10000313Y|Nombre_313|Apellido_313|57|Chilena
10000314D|Nombre_314|Apellido_314|67|Argentina
10000315S|Nombre_315|Apellido_315|76|Chilena
10000316E|Nombre_316|Apellido_316|34|Colombiana
10000317G|Nombre_317|Apellido_317|40|Mexicana
10000318R|Nombre_318|Apellido_318|38|Argentina
10000319F|Nombre_319|Apellido_319|58|Argentina
10000320F|Nombre_320|Apellido_320|57|Chilena
10000321F|Nombre_321|Apellido_321|72|Argentina
10000322C|Nombre_322|Apellido_322|37|Chilena
10000323C|Nombre_323|Apellido_323|51|Española
10000324J|Nombre_324|Apellido_324|26|Colombiana
10000325Q|Nombre_325|Apellido_325|47|Colombiana
10000326D|Nombre_326|Apellido_326|48|Mexicana
10000327N|Nombre_327|Apellido_327|85|Argentina
10000328A|Nombre_328|Apellido_328|26|Mexicana
10000329F|Nombre_329|Apellido_329|56|Argentina
10000330Q|Nombre_330|Apellido_330|73|Argentina
10000331X|Nombre_331|Apellido_331|23|Argentina
10000332N|Nombre_332|Apellido_332|45|Chilena
10000333Y|Nombre_333|Apellido_333|69|Colombiana
10000334W|Nombre_334|Apellido_334|80|Española
10000335W|Nombre_335|Apellido_335|79|Argentina
10000336E|Nombre_336|Apellido_336|28|Chilena
10000337Y|Nombre_337|Apellido_337|69|Chilena
10000338Z|Nombre_338|Apellido_338|46|Argentina
10000339F|Nombre_339|Apellido_339|20|Colombiana
10000340H|Nombre_340|Apellido_340|31|Chilena
10000341L|Nombre_341|Apellido_341|27|Española
10000342Q|Nombre_342|Apellido_342|34|Mexicana
10000343X|Nombre_343|Apellido_343|85|Argentina
10000344E|Nombre_344|Apellido_344|83|Española
10000345J|Nombre_345|Apellido_345|37|Mexicana
10000346E|Nombre_346|Apellido_346|45|Colombiana
10000347S|Nombre_347|Apellido_347|52|Mexicana
10000348E|Nombre_348|Apellido_348|45|Argentina
10000349D|Nombre_349|Apellido_349|46|Chilena
10000350V|Nombre_350|Apellido_350|44|Mexicana
10000351N|Nombre_351|Apellido_351|28|Colombiana
10000352A|Nombre_352|Apellido_352|30|Colombiana
10000353P|Nombre_353|Apellido_353|81|Argentina
10000354C|Nombre_354|Apellido_354|52|Española
10000355G|Nombre_355|Apellido_355|23|Colombiana
10000356L|Nombre_356|Apellido_356|62|Española
10000357B|Nombre_357|Apellido_357|83|Española
10000358L|Nombre_358|Apellido_358|26|Argentina
10000359A|Nombre_359|Apellido_359|54|Argentina
10000360N|Nombre_360|Apellido_360|21|Argentina
10000361N|Nombre_361|Apellido_361|39|Mexicana
10000362B|Nombre_362|Apellido_362|83|Española
10000363A|Nombre_363|Apellido_363|42|Colombiana
10000364X|Nombre_364|Apellido_364|41|Chilena
10000365L|Nombre_365|Apellido_365|23|Mexicana
10000366Y|Nombre_366|Apellido_366|83|Española
10000367Y|Nombre_367|Apellido_367|37|Colombiana
10000368F|Nombre_368|Apellido_368|50|Chilena
10000369G|Nombre_369|Apellido_369|31|Chilena
10000370M|Nombre_370|Apellido_370|57|Argentina
10000371Q|Nombre_371|Apellido_371|74|Mexicana
10000372W|Nombre_372|Apellido_372|49|Chilena
10000373J|Nombre_373|Apellido_373|32|Argentina
10000374B|Nombre_374|Apellido_374|20|Argentina
10000375G|Nombre_375|Apellido_375|65|Chilena
10000376B|Nombre_376|Apellido_376|76|Argentina
10000377J|Nombre_377|Apellido_377|71|Argentina
10000378N|Nombre_378|Apellido_378|38|Colombiana
10000379M|Nombre_379|Apellido_379|85|Argentina
10000380C|Nombre_380|Apellido_380|54|Argentina
10000381Y|Nombre_381|Apellido_381|69|Chilena
10000382A|Nombre_382|Apellido_382|30|Argentina
10000383J|Nombre_383|Apellido_383|67|Mexicana
10000384J|Nombre_384|Apellido_384|81|Chilena
10000385N|Nombre_385|Apellido_385|28|Chilena
10000386C|Nombre_386|Apellido_386|40|Colombiana
10000387A|Nombre_387|Apellido_387|81|Colombiana
10000388H|Nombre_388|Apellido_388|55|Argentina
10000389E|Nombre_389|Apellido_389|34|Mexicana
10000390M|Nombre_390|Apellido_390|27|Colombiana
10000391Q|Nombre_391|Apellido_391|22|Española
10000392H|Nombre_392|Apellido_392|72|Chilena
10000393K|Nombre_393|Apellido_393|61|Argentina
10000394P|Nombre_394|Apellido_394|22|Mexicana
10000395K|Nombre_395|Apellido_395|79|Mexicana
10000396M|Nombre_396|Apellido_396|26|Española
10000397M|Nombre_397|Apellido_397|26|Chilena
10000398P|Nombre_398|Apellido_398|82|Colombiana
10000399G|Nombre_399|Apellido_399|22|Argentina
10000400M|Nombre_400|Apellido_400|81|Española
10000401R|Nombre_401|Apellido_401|47|Española
10000402C|Nombre_402|Apellido_402|29|Colombiana
10000403R|Nombre_403|Apellido_403|81|Chilena
10000404B|Nombre_404|Apellido_404|39|Argentina
10000405A|Nombre_405|Apellido_405|61|Chilena
10000406P|Nombre_406|Apellido_406|79|Española
10000407K|Nombre_407|Apellido_407|19|Colombiana
10000408J|Nombre_408|Apellido_408|82|Mexicana
10000409F|Nombre_409|Apellido_409|28|Argentina
10000410V|Nombre_410|Apellido_410|78|Colombiana
10000411T|Nombre_411|Apellido_411|24|Chilena
10000412B|Nombre_412|Apellido_412|75|Argentina
10000413M|Nombre_413|Apellido_413|84|Argentina
10000414Z|Nombre_414|Apellido_414|69|Argentina
10000415X|Nombre_415|Apellido_415|20|Española
10000416J|Nombre_416|Apellido_416|54|Española
10000417E|Nombre_417|Apellido_417|71|Argentina
10000418F|Nombre_418|Apellido_418|51|Española
10000419Q|Nombre_419|Apellido_419|22|Española
10000420D|Nombre_420|Apellido_420|51|Colombiana
10000421S|Nombre_421|Apellido_421|78|Chilena
10000422L|Nombre_422|Apellido_422|37|Mexicana
10000423H|Nombre_423|Apellido_423|66|Colombiana
10000424P|Nombre_424|Apellido_424|36|Argentina
10000425W|Nombre_425|Apellido_425|39|Argentina
10000426Y|Nombre_426|Apellido_426|51|Mexicana
10000427H|Nombre_427|Apellido_427|28|Colombiana
10000428G|Nombre_428|Apellido_428|59|Argentina
10000429B|Nombre_429|Apellido_429|83|Argentina
10000430S|Nombre_430|Apellido_430|59|Mexicana
10000431W|Nombre_431|Apellido_431|42|Española
10000432R|Nombre_432|Apellido_432|82|Argentina
10000433T|Nombre_433|Apellido_433|78|Chilena
10000434C|Nombre_434|Apellido_434|80|Colombiana
10000435N|Nombre_435|Apellido_435|29|Colombiana
10000436X|Nombre_436|Apellido_436|70|Chilena
10000437B|Nombre_437|Apellido_437|39|Colombiana
10000438V|Nombre_438|Apellido_438|58|Chilena
10000439C|Nombre_439|Apellido_439|30|Argentina
10000440R|Nombre_440|Apellido_440|40|Española
10000441R|Nombre_441|Apellido_441|50|Mexicana
10000442K|Nombre_442|Apellido_442|25|Argentina
10000443F|Nombre_443|Apellido_443|32|Mexicana
10000444X|Nombre_444|Apellido_444|45|Chilena
10000445G|Nombre_445|Apellido_445|32|Colombiana
10000446X|Nombre_446|Apellido_446|33|Argentina
10000447K|Nombre_447|Apellido_447|18|Española
10000448G|Nombre_448|Apellido_448|52|Colombiana
10000449S|Nombre_449|Apellido_449|81|Chilena
10000450F|Nombre_450|Apellido_450|18|Mexicana
10000451H|Nombre_451|Apellido_451|72|Mexicana
10000452F|Nombre_452|Apellido_452|64|Española
10000453F|Nombre_453|Apellido_453|20|Mexicana
10000454Y|Nombre_454|Apellido_454|85|Española
10000455P|Nombre_455|Apellido_455|58|Chilena
10000456D|Nombre_456|Apellido_456|67|Colombiana
10000457P|Nombre_457|Apellido_457|29|Argentina
10000458Z|Nombre_458|Apellido_458|47|Chilena
10000459E|Nombre_459|Apellido_459|26|Chilena
10000460H|Nombre_460|Apellido_460|81|Argentina
10000461H|Nombre_461|Apellido_461|39|Argentina
10000462T|Nombre_462|Apellido_462|24|Colombiana
10000463E|Nombre_463|Apellido_463|51|Chilena
10000464A|Nombre_464|Apellido_464|84|Chilena
10000465Q|Nombre_465|Apellido_465|78|Española
10000466H|Nombre_466|Apellido_466|34|Mexicana
10000467S|Nombre_467|Apellido_467|41|Mexicana
10000468G|Nombre_468|Apellido_468|53|Mexicana
10000469C|Nombre_469|Apellido_469|81|Mexicana
10000470B|Nombre_470|Apellido_470|64|Española
10000471M|Nombre_471|Apellido_471|50|Colombiana
10000472W|Nombre_472|Apellido_472|50|Argentina
10000473B|Nombre_473|Apellido_473|69|Argentina
10000474M|Nombre_474|Apellido_474|83|Española
10000475H|Nombre_475|Apellido_475|58|Mexicana
10000476H|Nombre_476|Apellido_476|18|Chilena
10000477K|Nombre_477|Apellido_477|48|Mexicana
10000478Y|Nombre_478|Apellido_478|51|Española
10000479T|Nombre_479|Apellido_479|57|Chilena
10000480R|Nombre_480|Apellido_480|57|Chilena
10000481V|Nombre_481|Apellido_481|27|Mexicana
10000482D|Nombre_482|Apellido_482|45|Española
10000483T|Nombre_483|Apellido_483|35|Argentina
10000484H|Nombre_484|Apellido_484|43|Española
10000485M|Nombre_485|Apellido_485|77|Chilena
10000486B|Nombre_486|Apellido_486|57|Argentina
10000487G|Nombre_487|Apellido_487|33|Colombiana
10000488G|Nombre_488|Apellido_488|29|Chilena
10000489N|Nombre_489|Apellido_489|60|Mexicana
10000490Z|Nombre_490|Apellido_490|64|Mexicana
10000491Z|Nombre_491|Apellido_491|72|Argentina
10000492G|Nombre_492|Apellido_492|22|Chilena
10000493G|Nombre_493|Apellido_493|77|Mexicana
10000494F|Nombre_494|Apellido_494|26|Chilena
10000495X|Nombre_495|Apellido_495|61|Chilena
10000496W|Nombre_496|Apellido_496|24|Colombiana
10000497K|Nombre_497|Apellido_497|28|Chilena
10000498P|Nombre_498|Apellido_498|29|Colombiana
10000499Y|Nombre_499|Apellido_499|35|Argentina
10000500P|Nombre_500|Apellido_500|23|Chilena
10000501H|Nombre_501|Apellido_501|67|Colombiana
10000502Q|Nombre_502|Apellido_502|61|Mexicana
10000503W|Nombre_503|Apellido_503|42|Mexicana
10000504N|Nombre_504|Apellido_504|67|Colombiana
10000505K|Nombre_505|Apellido_505|40|Chilena
10000506S|Nombre_506|Apellido_506|58|Mexicana
10000507A|Nombre_507|Apellido_507|23|Mexicana
10000508C|Nombre_508|Apellido_508|32|Chilena
10000509M|Nombre_509|Apellido_509|55|Española
10000510H|Nombre_510|Apellido_510|32|Mexicana
10000511D|Nombre_511|Apellido_511|75|Argentina
10000512F|Nombre_512|Apellido_512|54|Chilena
10000513C|Nombre_513|Apellido_513|30|Española
10000514R|Nombre_514|Apellido_514|72|Mexicana
10000515L|Nombre_515|Apellido_515|67|Colombiana
10000516F|Nombre_516|Apellido_516|52|Mexicana
10000517F|Nombre_517|Apellido_517|33|Colombiana
10000518M|Nombre_518|Apellido_518|49|Colombiana
10000519Z|Nombre_519|Apellido_519|52|Argentina
10000520V|Nombre_520|Apellido_520|69|Chilena
10000521V|Nombre_521|Apellido_521|21|Chilena
10000522A|Nombre_522|Apellido_522|28|Española
10000523D|Nombre_523|Apellido_523|84|Argentina
10000524F|Nombre_524|Apellido_524|18|Chilena
10000525E|Nombre_525|Apellido_525|69|Argentina
10000526S|Nombre_526|Apellido_526|54|Mexicana
10000527W|Nombre_527|Apellido_527|81|Chilena
10000528L|Nombre_528|Apellido_528|82|Mexicana
10000529P|Nombre_529|Apellido_529|83|Chilena
10000530L|Nombre_530|Apellido_530|80|Española
10000531G|Nombre_531|Apellido_531|74|Argentina
